EE_ha_Unid,3534,241
Sr_rh_NapA,1081,2999
EE_ha_Cpol,5424,638
Am_tu_Hp92,4042,904
Sr_rh_Loce,4413,631
Am_tu_Hp91,3647,603
Sr_rh_PspA,3703,399
Sr_di_Shan,5327,1045
Sr_st_Htam,3057,161
Sr_ci_Lx54,1155,88
Sr_ci_Lx55,2001,286
Sr_st_Sagg,3913,393
Am_tu_He54,4375,1661
Sr_ci_Lx50,1399,155
Am_tu_He52,3756,1719
Am_tu_He51,3936,1124
Sr_ci_Lx53,1350,149
Sr_ci_Casp,3774,266
EE_br_Pbif,3352,886
Sr_ci_ZO02,1745,629
Sr_ci_ZO01,2510,1769
Sr_ci_Cz01,114,684
Pl_rh_Rhod,3425,394
Sr_st_Rmar,4674,369
Sr_st_Hseo,3418,309
Op_me_Mlei,1144,42
Pl_gr_Pgel,370,53
Sr_di_Lfis,5734,1351
Sr_st_Odan,212,8
Sr_di_Tjol,4849,808
Sr_rh_QjpA,3599,352
Op_me_Tbry,159,6
Am_tu_Hp08,3732,634
Am_di_Risp,3278,852
Pl_gr_Mver,853,315
Pl_gr_Pwic,724,96
Sr_ci_Sasu,4970,492
Sr_st_Nspa,4731,370
EE_ha_Plut,3673,406
Am_tu_He28,3029,708
Am_tu_He29,2845,834
EE_ha_Igal,1495,55
Am_tu_He22,1949,1324
Am_tu_He23,933,489
Am_tu_He20,1926,472
Am_tu_He21,3424,570
Am_tu_He26,4162,734
Am_tu_He27,1589,744
Am_tu_He24,3180,1334
Am_tu_He25,875,349
Sr_rh_QspA,744,1834
Sr_st_Penc,3326,370
EE_br_Stet,403,14
Sr_ci_WI03,863,48
Sr_ci_WI02,141,8
Sr_ci_WI01,1100,227
Sr_rh_HgpA,3115,305
EE_ha_Pcrd,3184,610
Sr_ci_Pdub,3377,155
Am_di_Vnsp,4031,1065
Sr_ci_Hx09,2110,1468
Pl_rh_Batr,86,8
Sr_st_Spus,3764,322
Sr_ci_Bs01,3364,1705
Sr_ci_Nvar,677,16
Sr_ci_Samc,5102,1980
Am_tu_Ns13,2629,1277
Am_tu_Ns12,4698,1242
Am_tu_Ns11,3883,1690
Am_tu_Ns10,4071,805
Am_tu_Ns17,4023,1520
Am_tu_Ns16,4525,1572
Am_tu_Ns15,4622,1922
